frame,time_sec,side,elbow_angle,knee_angle,trunk_angle
140,5.6679817905918055,Left,71.30305458299597,93.63205761565307,25.73645097925204
141,5.7084673748103185,Left,72.96058125878676,102.92069150841405,32.868678933367505
169,6.842063732928679,Right,36.86271254640361,154.22430229988532,111.59041943532017
170,6.882549317147192,Right,37.51780291422553,100.17736344661694,116.38893765534841
173,7.004006069802731,Left,134.28605361156525,144.5455371912145,120.64322404654348
175,7.084977238239757,Left,141.63104374743176,146.55346125307142,119.5240286151016
209,8.461487101669196,Right,107.39619035383186,147.06853882402666,29.32522992499045
210,8.501972685887708,Right,118.66903067615092,157.71507874051954,29.32522992499045
211,8.542458270106222,Right,127.96519473478091,152.15912048712602,29.32522992499045
212,8.582943854324734,Right,144.13959068042013,153.8804820921584,26.473670425990004
213,8.623429438543246,Right,153.61175498738064,166.60839344491941,23.473520167050562
214,8.66391502276176,Right,161.31808813965173,168.5901621703643,23.473520167050562
432,17.48977238239757,Left,149.693541400889,170.66777617032716,29.272292183499694
433,17.530257966616084,Left,149.693541400889,170.66777617032716,29.272292183499694
434,17.570743550834596,Left,149.693541400889,174.88743036971638,26.255904287701306
435,17.611229135053108,Left,136.52375506481545,163.2400428318632,35.869823517721315
436,17.651714719271624,Left,136.52375506481545,163.2400428318632,35.869823517721315
437,17.692200303490136,Left,136.52375506481545,167.12078268748192,32.6609127216738
438,17.732685887708648,Left,136.52375506481545,167.12078268748192,32.6609127216738
539,21.82172989377845,Right,152.1138966483794,171.94668688889533,32.12882096219873
563,22.793383915022762,Right,124.08846428623522,136.480626037168,3.6473856524568387
567,22.95532625189681,Right,131.78451600825179,64.14813745793958,33.749318569504844
571,23.117268588770862,Right,63.37273651620034,158.09682191816083,36.41501469185286
572,23.157754172989378,Right,138.96524307936744,162.20069739079779,37.64301819980001
573,23.19823975720789,Left,51.15734861656812,163.77980630439723,22.765009107511485
574,23.238725341426402,Left,51.15734861656812,163.77980630439723,22.765009107511485
575,23.279210925644914,Left,48.915878531875485,158.17774323143323,18.55763767076109
577,23.360182094081942,Left,62.30211437780598,32.95164878177664,82.14668669802178
